0.25	0.25	0.1	0	0.214285714
0.181818182	0.083333333	0	0.133333333	0
0.2	0.090909091	0.055555556	0.076923077	0.105263158
0.071428571	0	0.15	0.076923077	0
0.416666667	0.166666667	0.357142857	0.222222222	0.125
0.25	0.230769231	0.136363636	0	0.043478261
0.272727273	0.222222222	0.294117647	0.307692308	0.352941176
0.181818182	0.25	0.176470588	0.2	0
0.166666667	0.071428571	0.133333333	0.166666667	0.05
0.333333333	0.538461538	0.173913043	0.333333333	0.210526316
0.416666667	0.25	0.1875	0.352941176	0.444444444
0.111111111	0.2	0.058823529	0.318181818	0.428571429
0.25	0.5	0	0.111111111	0
0	0.153846154	0.217391304	0.095238095	0.083333333
0.090909091	0	0.176470588	0.115384615	0.05
0	0	0.0625	0.08	0.041666667
0.363636364	0.272727273	0.08	0.192307692	0.19047619
0.1	0	0.157894737	0.083333333	0.130434783
0.111111111	0.3	0.142857143	0.142857143	0.0625
0	0.1875	0.04	0.076923077	0.071428571
0.2	0	0.2	0.066666667	0
0.230769231	0.25	0.071428571	0.25	0.176470588
0.2	0.222222222	0.333333333	0.117647059	0
0.2	0	0.176470588	0.111111111	0.176470588fh
